10:23:58.575 [scheduling-1] INFO  o.u.i.s.ExclusiveGatewayGuardRegistry - [ExclusiveGatewayRegistry] Removed gateway Gateway_1vxzxud (execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531)
10:23:58.578 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Registered environmental task | activity=Activity_1nycl57 | execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531 | guard='(empty)' | action='occupyRoom' | participantId=Participant_1fejmk0 | timer=(empty)
10:23:58.578 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] WAITING | Activity: Activity_1nycl57 - Explain topic | Guard: (empty) | Action: occupyRoom | Timer: (empty)
10:23:58.579 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_1nycl57' has entered wait state.
10:23:58.582 [scheduling-1] INFO  o.u.i.s.ExclusiveGatewayGuardRegistry - [ExclusiveGatewayRegistry] Signaled gateway Gateway_1vxzxud (execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531) with selected flow Flow_02i8y5s
10:24:00.556 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1nycl57 -> auto-pass
10:24:00.560 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] occupyRoom executed | activity=Activity_1nycl57 | participant=Participant_1fejmk0 | place=place2 | occupied=true
10:24:00.562 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_1nycl57'. signalName=null, signalData=null
10:24:00.564 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Removed environmental task | activity=Activity_1nycl57 | execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531
10:24:00.564 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] Task Activity_1nycl57 ended
10:24:00.566 [scheduling-1] INFO  o.u.i.l.e.UnbindingExecutionListener - [UNBINDING] Task Activity_1b8dtmr started - Participant Tutor (Participant_1fejmk0) waiting for unbind with Student (Participant_0yrbhi5) | Timer: (empty)
10:24:00.566 [scheduling-1] INFO  o.u.i.s.e.u.UnbindingTaskRegistry - [UnbindingRegistry] Registering task: BK=a | Participant_1fejmk0 -> Participant_0yrbhi5 | exec=1e74b3ca-22ac-11f1-a061-6ee3202e5531 | activity=Activity_1b8dtmr | timer=(empty)
10:24:00.566 [scheduling-1] INFO  o.u.i.s.e.u.UnbindingTaskRegistry - [UnbindingRegistry] Registered waiting unbinding task | BK: a | participant: Participant_1fejmk0 -> target: Participant_0yrbhi5
10:24:00.566 [scheduling-1] INFO  o.u.i.s.e.u.UnbindingTaskRegistry - [UnbindingRegistry] Activated pair a:Participant_0yrbhi5<->Participant_1fejmk0 (Participant_1fejmk0 <-> Participant_0yrbhi5)
10:24:00.566 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_1b8dtmr' has entered wait state.
10:24:00.568 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Guard+Action satisfied -> task completed | activity=Activity_1nycl57 | execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531 | guard='' | action='occupyRoom'
10:24:00.569 [scheduling-1] INFO  o.u.i.s.e.u.UnbindingTaskRegistry - [UnbindingRegistry] Pair a:Participant_0yrbhi5<->Participant_1fejmk0 reached same position 'place2' -> completing unbinding tasks
10:24:00.571 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_1b8dtmr'. signalName=null, signalData=null
10:24:00.572 [scheduling-1] INFO  o.u.i.s.e.u.UnbindingTaskRegistry - [UnbindingRegistry] Removed active pair a:Participant_0yrbhi5<->Participant_1fejmk0 due to task end
10:24:00.572 [scheduling-1] INFO  o.u.i.l.e.UnbindingExecutionListener - [UNBINDING] Task Activity_1b8dtmr ended
10:24:00.575 [scheduling-1] INFO  o.u.i.s.ExclusiveGatewayGuardRegistry - [ExclusiveGatewayRegistry] Registered gateway Gateway_1xbm01q (execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531) with 2 guarded outgoing flows
10:24:00.575 [scheduling-1] INFO  o.u.i.l.e.ExclusiveGatewayExecutionListener - [ExclusiveGatewayListener] Gateway Gateway_1xbm01q entered wait mode with 2 guarded flows
10:24:00.575 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Gateway_1xbm01q' has entered wait state.
10:24:00.578 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_1t301f5'. signalName=null, signalData=null
10:24:00.578 [scheduling-1] INFO  o.u.i.l.e.UnbindingExecutionListener - [UNBINDING] Task Activity_1t301f5 ended
10:24:00.585 [scheduling-1] INFO  o.u.i.s.e.BoundParticipantsDiscordanceMonitor - [DiscordanceMonitor] Removed bound pair: BK=a | PI=1e74b3ca-22ac-11f1-a061-6ee3202e5531 | Participant_1fejmk0 <-> Participant_0yrbhi5 | Key: 1e74b3ca-22ac-11f1-a061-6ee3202e5531:Participant_0yrbhi5<->Participant_1fejmk0
10:24:00.586 [scheduling-1] INFO  o.u.i.s.SequenceFlowGuardEvaluator - [SequenceFlowGuardEvaluator] Guard evaluation for Flow_1inu7lz (myPlace().lights == on): true
10:24:00.588 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Gateway_1xbm01q'. signalName=null, signalData=null
10:24:00.589 [scheduling-1] INFO  o.u.i.s.ExclusiveGatewayGuardRegistry - [ExclusiveGatewayRegistry] Removed gateway Gateway_1xbm01q (execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531)
10:24:00.590 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Registered environmental task | activity=Activity_146u96e | execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531 | guard='(empty)' | action='turnLightsOff' | participantId=Participant_1fejmk0 | timer=(empty)
10:24:00.590 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] WAITING | Activity: Activity_146u96e - Turn off lights | Guard: (empty) | Action: turnLightsOff | Timer: (empty)
10:24:00.590 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_146u96e' has entered wait state.
10:24:00.591 [scheduling-1] INFO  o.u.i.s.ExclusiveGatewayGuardRegistry - [ExclusiveGatewayRegistry] Signaled gateway Gateway_1xbm01q (execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531) with selected flow Flow_1inu7lz
10:24:02.556 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_146u96e -> auto-pass
10:24:02.562 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Participant 'Participant_1fejmk0' has no mapped user for businessKey 'a' (action='turnLightsOff')
10:24:04.556 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_146u96e -> auto-pass
10:24:06.557 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_146u96e -> auto-pass
10:24:08.556 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_146u96e -> auto-pass
10:24:10.552 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_146u96e -> auto-pass
10:24:11.742 [http-nio-8082-exec-10] INFO  o.u.i.c.EnvironmentController - [Environment API] Attribute 'lights' for place 'place2' set to: off
10:24:12.557 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_146u96e -> auto-pass
10:24:12.560 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_146u96e'. signalName=null, signalData=null
10:24:12.563 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Removed environmental task | activity=Activity_146u96e | execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531
10:24:12.563 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] Task Activity_146u96e ended
10:24:12.568 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Registered environmental task | activity=Activity_0ni6qyx | execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531 | guard='(empty)' | action='leaveRoom' | participantId=Participant_1fejmk0 | timer=(empty)
10:24:12.568 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] WAITING | Activity: Activity_0ni6qyx - Leave
meeting room | Guard: (empty) | Action: leaveRoom | Timer: (empty)
10:24:12.568 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_0ni6qyx' has entered wait state.
10:24:12.572 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Guard+Action satisfied -> task completed | activity=Activity_146u96e | execution=1e74b3ca-22ac-11f1-a061-6ee3202e5531 | guard='' | action='turnLightsOff'
10:24:14.556 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0ni6qyx -> auto-pass
10:24:14.559 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] leaveRoom executed | activity=Activity_0ni6qyx | participant=Participant_1fejmk0 | place=place2 | state=null | occupied=false
