23:28:31.520 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_1mdszue | Activity: Activity_1cvsw1r | Destination: set8 | ExecutionId: eab64284-23e2-11f1-ae2c-4a84ddaf9f81 | Timer: (empty)
23:28:31.520 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_1cvsw1r' has entered wait state.
23:28:31.522 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Guard+Action satisfied -> task completed | activity=Activity_1wilfda | execution=eab64284-23e2-11f1-ae2c-4a84ddaf9f81 | guard='' | action='rentVehicle'
23:28:33.507 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] ✓ Participant Participant_1mdszue reached destination set8 | Completing task
23:28:33.509 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_1cvsw1r'. signalName=null, signalData=null
23:28:33.510 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] restored <space:destination>='set8' on Activity_1cvsw1r
23:28:33.510 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Removed movement task for participant: Participant_1mdszue (execution=eab64284-23e2-11f1-ae2c-4a84ddaf9f81)
23:28:33.510 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Task completed for participant Participant_1mdszue (execution=eab64284-23e2-11f1-ae2c-4a84ddaf9f81)
23:28:33.511 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Registered environmental task | activity=Activity_09t8y0k | execution=eab64284-23e2-11f1-ae2c-4a84ddaf9f81 | guard='(empty)' | action='leaveVehicle' | participantId=Participant_1mdszue | timer=(empty)
23:28:33.511 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] WAITING | Activity: Activity_09t8y0k - Park bike | Guard: (empty) | Action: leaveVehicle | Timer: (empty)
23:28:33.512 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_09t8y0k' has entered wait state.
23:28:33.515 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Task completed successfully for participant Participant_1mdszue
23:28:33.517 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_09t8y0k -> auto-pass
23:28:33.525 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] leaveVehicle executed | activity=Activity_09t8y0k | participant=Participant_1mdszue | place=place4 | taken=true
23:28:33.526 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_09t8y0k'. signalName=null, signalData=null
23:28:33.527 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Removed environmental task | activity=Activity_09t8y0k | execution=eab64284-23e2-11f1-ae2c-4a84ddaf9f81
23:28:33.527 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] Task Activity_09t8y0k ended
23:28:33.533 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Resolved 'Participant.Customer.position' to participant position 'place4'
23:28:33.533 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='place4' on Activity_1hbymbe
23:28:33.533 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_1hbymbe - Move to customer | Participant: Bike Rental Operator (Participant_1fejmk0) | Destination: place4 | Timer: (empty)
