18:23:27.041 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Waiting for counterpart: 2 participants in waiting | waiting=[Participant_2abc123->Participant_3def456, Participant_3def456->Participant_1mdszue]
18:23:29.043 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Waiting for counterpart: 2 participants in waiting | waiting=[Participant_2abc123->Participant_3def456, Participant_3def456->Participant_1mdszue]
18:23:29.585 [http-nio-8082-exec-9] INFO  o.u.i.c.EnvironmentController - [Environment API] Participant 'Participant_1mdszue' position set to: place39
18:23:31.043 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] ✓ Participant Participant_1mdszue reached destination set6 | Completing task
18:23:31.055 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_01vg59j'. signalName=null, signalData=null
18:23:31.059 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] restored <space:destination>='set6' on Activity_01vg59j
18:23:31.060 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Removed movement task for participant: Participant_1mdszue
18:23:31.060 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Task completed for participant Participant_1mdszue
18:23:31.064 [scheduling-1] INFO  o.u.i.service.MessageFlowRegistry - [MessageFlowRegistry] Registered binding flow: Activity_10bide9 -> Activity_0046b8v (participants: Participant_3def456 -> Participant_1mdszue)
18:23:31.064 [scheduling-1] INFO  o.u.i.service.MessageFlowRegistry - [MessageFlowRegistry] Registered binding flow: Activity_1jh86be -> Activity_0rc0d2n (participants: Participant_2abc123 -> Participant_3def456)
18:23:31.064 [scheduling-1] INFO  o.u.i.service.MessageFlowRegistry - [MessageFlowRegistry] Registered unbinding flow: Activity_0zhyuds -> Activity_0p98ust (participants: Participant_2abc123 -> Participant_3def456)
18:23:31.064 [scheduling-1] INFO  o.u.i.service.MessageFlowRegistry - [MessageFlowRegistry] Registered unbinding flow: Activity_0foii35 -> Activity_0zz15az (participants: Participant_3def456 -> Participant_1mdszue)
18:23:31.064 [scheduling-1] INFO  o.u.i.service.MessageFlowRegistry - [MessageFlowRegistry] Late registration of flows for process: Ambulance:1:07e06390-22ef-11f1-ac2f-6ee3202e5531
18:23:31.064 [scheduling-1] INFO  o.u.i.l.e.BindingExecutionListener - [BINDING] Task Activity_0046b8v started - Participant Ambulance (Participant_1mdszue) waiting for Patient (Participant_3def456) | Timer: (empty)
18:23:31.064 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Registering task: BK=a | Participant_1mdszue -> Participant_3def456 | exec=2f42a257-22ef-11f1-ac2f-6ee3202e5531 | activity=Activity_0046b8v | timer=(empty)
18:23:31.064 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Registered waiting binding task | BK: a | participant: Participant_1mdszue -> target: Participant_3def456
18:23:31.064 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Waiting tasks after registration: [Participant_2abc123=>Participant_3def456, Participant_3def456=>Participant_1mdszue, Participant_1mdszue=>Participant_3def456]
18:23:31.064 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] tryActivatePair: Looking for counterpart for Participant_1mdszue -> Participant_3def456
18:23:31.064 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] tryActivatePair: Found potential counterpart Participant_3def456 -> Participant_1mdszue
18:23:31.065 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] tryActivatePair: Same business key? a vs a = true
18:23:31.065 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] tryActivatePair: Reciprocal check - current.id (Participant_1mdszue) == counterpart.target (Participant_1mdszue) ? true | current.target (Participant_3def456) == counterpart.id (Participant_3def456) ? true
18:23:31.065 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] ✓ Activated pair a:Participant_1mdszue<->Participant_3def456 (Participant_1mdszue <-> Participant_3def456)
18:23:31.065 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_0046b8v' has entered wait state.
18:23:31.072 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Task completed successfully for participant Participant_1mdszue
18:23:31.073 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Waiting for counterpart: 1 participants in waiting | waiting=[Participant_2abc123->Participant_3def456]
18:23:31.073 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Checking pair a:Participant_1mdszue<->Participant_3def456: Participant_1mdszue at place39 vs Participant_3def456 at place39
18:23:31.073 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Pair a:Participant_1mdszue<->Participant_3def456 reached same position 'place39' -> completing binding tasks
18:23:31.077 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_0046b8v'. signalName=null, signalData=null
18:23:31.079 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Removed active pair a:Participant_1mdszue<->Participant_3def456 due to task end
18:23:31.079 [scheduling-1] INFO  o.u.i.l.e.BindingExecutionListener - [BINDING] Task Activity_0046b8v ended
18:23:31.083 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='set5' on Activity_0g763ea
18:23:31.084 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_0g763ea - Move to
hospital parking | Participant: Ambulance (Participant_1mdszue) | Destination: set5 | Timer: (empty)
18:23:31.084 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_1mdszue | Activity: Activity_0g763ea | Destination: set5 | ExecutionId: 0800bcd2-22ef-11f1-ac2f-6ee3202e5531 | Timer: (empty)
18:23:31.084 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_0g763ea' has entered wait state.
18:23:31.087 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_10bide9'. signalName=null, signalData=null
18:23:31.088 [scheduling-1] INFO  o.u.i.l.e.BindingExecutionListener - [BINDING] Task Activity_10bide9 ended
