10:46:07.126 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] ✓ Participant Participant_2abc123 reached destination Lp_bkw2w6 | Completing task
10:46:07.129 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_0bueab4'. signalName=null, signalData=null
10:46:07.131 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] restored <space:destination>='Lp_bkw2w6' on Activity_0bueab4
10:46:07.131 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Removed movement task for participant: Participant_2abc123
10:46:07.131 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Task completed for participant Participant_2abc123
10:46:07.133 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Registered environmental task | activity=Activity_1jf86rf | execution=4920bf42-22af-11f1-a061-6ee3202e5531 | guard='(empty)' | action='prepareArea' | participantId=Participant_2abc123 | timer=(empty)
10:46:07.133 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] WAITING | Activity: Activity_1jf86rf - Prepare area | Guard: (empty) | Action: prepareArea | Timer: (empty)
10:46:07.133 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_1jf86rf' has entered wait state.
10:46:07.136 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Task completed successfully for participant Participant_2abc123
10:46:07.136 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:07.140 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Participant 'Participant_2abc123' has no mapped user for businessKey 'a' (action='prepareArea')
10:46:09.127 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:11.126 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
